condition,total_prey_collected_mean,total_prey_collected_std,predator_incidents_mean,predator_incidents_std,survival_rate_mean,survival_rate_std,time_to_first_prey_mean,time_to_first_prey_std,prey_completion_rate_mean,prey_completion_rate_std,all_prey_collected_mean,all_prey_collected_std,time_to_all_prey_mean,time_to_all_prey_std,bats_eaten_mean,bats_eaten_std,llm_survived_mean,llm_survived_std,timeout_mean,timeout_std,episodes_with_zero_deaths_mean,episodes_with_zero_deaths_std
rule_stig_off,46.25,1.8317377426626165,2.9,3.6113855046447054,0.8099999999999999,0.2133278508067443,21.45,16.722109537029745,1.0,0.0,1.0,0.0,159.85,41.50621386580188,2.85,3.1999177621011645,0.0,0.0,0.0,0.0,0.4,0.5026246899500345
rule_stig_on,46.25,1.8317377426626158,2.4,3.37794705639231,0.85,0.1820930936000652,20.4,16.099689437998485,1.0,0.0,1.0,0.0,166.2,57.33704598342386,2.25,2.7313964040009777,0.0,0.0,0.0,0.0,0.5,0.512989176042577
llm_priv_on_recruit_on,46.2,1.9628121608924707,6.0,5.65685424949238,0.72,0.226439514663783,24.4,17.394493986679564,0.9988095238095237,0.005323971374999505,0.95,0.22360679774997894,248.47368421052633,86.08482149152701,4.2,3.3965927199567445,0.5,0.512989176042577,0.05,0.22360679774997894,0.2,0.41039134083406165
llm_local_only_recruit_on,45.5,3.069373328804912,4.15,4.05585995813465,0.7166666666666667,0.250263019536184,22.2,16.362987759607126,0.9834622823984527,0.04830690789119192,0.85,0.36634754853252316,276.94117647058823,165.50810802957483,4.25,3.75394529304276,0.55,0.5104177855340404,0.15,0.3663475485325232,0.3,0.47016234598162726
llm_priv_on_recruit_off,46.25,1.8317377426626162,3.25,4.115119746291205,0.8099999999999999,0.2144215665159046,21.3,16.871339758986476,1.0,0.0,1.0,0.0,167.35,40.49337177730124,2.85,3.216323497738569,0.7,0.47016234598162726,0.0,0.0,0.45,0.5104177855340404
