layout,ping_noise,condition,seed,escape_rate,time_to_exit_mean,jam_events_mean,path_eff_mean
corridor,0.08,rule_only,0,0.9333333333333333,247.14285714285714,0,0.4137524934950153
corridor,0.08,rule_only,1,1.0,201.66666666666666,0,0.5224807792429689
corridor,0.08,rule_only,2,0.26666666666666666,736.75,0,0.13751603211025043
corridor,0.08,rule_only,3,0.7333333333333333,224.9090909090909,0.06666666666666667,0.4573788715847034
corridor,0.08,rule_only,4,0.6,195.77777777777777,0,0.498571913476007
corridor,0.08,rule_only,5,0.7333333333333333,251.72727272727272,0,0.419174508942114
corridor,0.08,rule_only,6,0.8,307.4166666666667,0.06666666666666667,0.3707696738071409
corridor,0.08,rule_only,7,0.8666666666666667,314.38461538461536,0,0.37397894944344034
corridor,0.08,rule_only,8,0.8666666666666667,266,0,0.4064754880517578
corridor,0.08,rule_only,9,0.8666666666666667,248.76923076923077,0,0.4621370165678551
corridor,0.08,one_llm,0,0.9333333333333333,157.14285714285714,0,0.6942837134686767
corridor,0.08,one_llm,1,1.0,162.26666666666668,0,0.687514651809799
corridor,0.08,one_llm,2,0.8666666666666667,223.76923076923077,0,0.48824340600208493
corridor,0.08,one_llm,3,0.9333333333333333,150.78571428571428,0.13333333333333333,0.7521436294517074
corridor,0.08,one_llm,4,1.0,140.73333333333332,0,0.8137719154140055
corridor,0.08,one_llm,5,0.9333333333333333,157,0,0.7102388246715816
corridor,0.08,one_llm,6,0.9333333333333333,485.5,0.06666666666666667,0.22621472200328935
corridor,0.08,one_llm,7,1.0,137.8,0,0.8426513331583246
corridor,0.08,one_llm,8,1.0,171.6,0.06666666666666667,0.6608110972661999
corridor,0.08,one_llm,9,1.0,168.53333333333333,0,0.6502260438864826
corridor,0.12,rule_only,0,0.9333333333333333,247.14285714285714,0,0.4137524934950153
corridor,0.12,rule_only,1,1.0,201.66666666666666,0,0.5224807792429689
corridor,0.12,rule_only,2,0.26666666666666666,736.75,0,0.13751603211025043
corridor,0.12,rule_only,3,0.7333333333333333,224.9090909090909,0.06666666666666667,0.4573788715847034
corridor,0.12,rule_only,4,0.6,195.77777777777777,0,0.498571913476007
